program,acad_course_macro_garima_score,acad_course_acc_nimisha_score,acad_course_corpstrategy_vipin_score,acad_course_stratlead_manu_score,acad_course_stratlead_vipin_score,acad_course_prod_ashank_score,acad_course_finmodel_pranav_score,acad_course_mktres_bhupesh_score,acad_course_b2b_rajan_score,acad_course_category_sahil_score,acad_course_prodanalytics_shravan_score,acad_course_productlab_fenil_score,acad_course_python_tushar_score,acad_course_design_nikunj_score,acad_course_leadership_rajat_score,acad_most_impact_comment,acad_relevance_score,acad_overall_nps,acad_feedback_comment,outclass_preseed_confidence_score,outclass_content_clarity_comment,outclass_overall_nps,outclass_feedback_comment,careerprep_guidance_score,careerprep_confidence_comment,careerprep_overall_nps,careerprep_feedback_comment,careerservices_overall_nps,careerservices_feedback_comment,masterrelations_guestfavorite_comment,masterrelations_feedback_comment,studentaffairs_engagement_score,studentaffairs_grievance_score,studentaffairs_value_comment,studentaffairs_overall_nps,studentaffairs_feedback_comment,tech_careercoach_score,tech_careercoach_comment,tech_mentorunion_score,tech_mentorunion_usefulness_score,tech_mentorunion_comment,tech_lms_score,tech_lms_comment,program_overall_nps,program_nps_reason_comment,program_positive_comment,program_fix_comment
TBM,9,8,8,8,8,,,9,,,9,,,,7,"Shravan Tickoo's course gave confidence in proceeding with product role for me. Also I did not opt for Ashank Bhandari, but had sat in his course. His clarity on the subject, first principles thinking and delivery made the claasses unforgettable",7,8,Nothing specific. Term 3 was relatively well paced compared to Term 2.,7,Did not enroll in Content Creation Challenge,6,The VIP sessions felt repetitive and did not add a lot of value,7,My confidence in behavioral interviews has improved. But for the technical knowledge I still need to prepare from my side first.,7,Nothing Specific.,7,"I am currently concentrating on VIP, so I have not applied for Product roles yet. But from my peers I hear that the opportunities being brought for product are limited. So it is making me reconsider my decision of focusing on VIP.",Nothing in specific.,No,9,10,Academic Lectures. Especially the product courses,8,Nothing in specific,8,Not actively using it. But some times I see the JD and joining date of the roles are not clear. Please mention it for all the roles being floated,10,10,I did not face any issues with any mentors,9,Give an option to change session feedbacks,8,I reduced 2 points as I taught VIP could have been better.,Feedback of sessions were heard and implemented by team and faculties,Better guidance on VIP and outclass activities. Especially for students without clarity on idea
TBM,10,1,8,,,,10,10,,,,,,,,Financial Modelling - Pranav Dedhia,9,7,Not answered,5,Didn't sign up for it,4,Not answered,7,Yes the team has helped me build my skills.,7,Not answered,6,Not answered,None in particular for me,Not answered,6,8,The dedication of professors to give extra time to the students.,8,Not answered,4,It shows ineligible sometimes for the roles that are a match for me.,7,6,Not answered,8,Not answered,9,This term was well organised and lot of problems were solved immediately.,Continuous feedback and improvement,"I do not mean to be disrespectful to any of the professors, but I would choose those professors who are able to teach well, while keeping the session interactive, over those professors who might be highly skilled."
TBM,8,5,9,,,,,7,,,,,,,10,Professor Rajat Mathur's class had a huge impact.,6,7,Not answered,5,Did not opt for the same.,4,Not answered,4,No - I still don't feel confident about the same. I feel there are multiple students still trying to figure out what domain/ industry they are interested in so if we could get a guidance on what industry is relevant for us as per our experience and how that could help us in the future would help.,5,Not answered,5,Not answered,Rajat Mathur's sir classes stood out as it taught us something from pratical life perspective. Bhupesh sir's MR course also gave us a lot of insights on how we do Market Research,Not answered,5,5,Don't remember any particular experience as such.,6,Not answered,6,Not answered,7,6,Not answered,7,Not answered,6,There were multiple ups and downs regarding the same.,Don't remember what exactly worked best,I think if we compare ourselves to other MBA programs - we should also treat our students like that. I feel when students do something which is not really supposed to be done as per policies - strict action should be taken so students don't take the course for granted. I would also fix the way the the career outreach team is just copy pasting job openings from Linkedin. A lot of students here have an ambition to get into a legacy company and as Pratham as a lot of contacts I think he should reach out to legacy companies and ask them to hire students from MU.
TBM,7,,8,9,9,,9,10,,6,,,,,10,Market Research by Dr Bhupesh added a lot of value. Leadership Labs with Mr Mathur were one of a kind experience. Perfectly planned and paced,8,8,"A review upon the category management course should be done. It did not add much value as everything was PPT driven, simulations were industry relevant but no help/guidance/direction was provided aptly. In depth understanding could not be felt.",9,Did not opt for the content creation challenge,9,It was well paced this time.,6,"The career prep has been helpful when it comes to being prepared for interviews. Sessions with Ms Gopika are insightful. However, domain specific guidance is not provided aptly. Resume review sessions are only helpful for formatting it right. The sessions are anyway one to one- It would be great if these sessions are more insightful as to how to place our experience on the resume.",7,Not answered,8,Not answered,"Dr Bhupesh- his sessions are extremely planned, structured and insightful. Ms Gopika- her reviews are excellent. Helps prepare better every single time.",Not answered,9,8,The events and activities were a good opportunity to socialise after a long time.,9,Not answered,9,Not answered,7,7,Not answered,9,Not answered,8,Adequate placement of courses and well paced assignments gave time to prepare for academics.,Rightly paced courses and assignments along with breathers in between.,-Make the outclass experience more insightful by assigning 1 mentor to every 4 teams. Gives students an opportunity to take quick calls and helps avoid frequent pivots. -Conduct frequent internal review/feedback system with academic faculty. Some faculty can be better paced at their learning pedagogy. - Improve the regulatory authorities’ binding on student clubs and other co-curricular activities. Will increase accountability amongst the students and also stronger SOPs should be implemented.
TBM,10,,10,,10,,,10,8,,10,,,,10,Bhupesh - Learned extensively about market research which will always help me in future career.,10,10,"overall the courses, structure, leaves and exams balance was good",9,I was not a part of it,10,VIP went well and now MVP is also going good,10,"VERY MUCHH. Prabhu did a tremendous job, Please make him a full time professor in masters union",10,Career Prep was good and attended all the sessions which gave me insights about my future career opportunities,10,He is always available to solve our doubts and always guide us,Leadership Lab Macroeconomics Market Research Product Analytics,NO,8,9,CEP- Marketing and Mentor Union,9,No comments on it,10,Sometimes it lags so can improve that,10,10,Filters do not function well in mentor union and more mentors in category management needed,10,Lagging issues,10,Academics and term planning,Balance of acads and leaves to prepare for interviews,"I would focus on building a campus which has some leisure areas included like parks and grounds, which will help to build relations better."
TBM,9,,9,10,9,,,8,7,8,,,,8,10,Leadership Lab - Mr Rajat Mathur,8,8,No,5,"No, the sessions were mostly based on how content creation is a good career pathway. Infact I figured that out with the help of the internal marketing team (Divyam's team)",3,None,8,"Yes, the sessions were quite helpful.",8,None,4,A little disappointed with the way placements are happening. The opportunities floated numbers is rapidly increasing whereas there are so many companies that haven't even shared shortlists.,Anupam Mittal's session,No,6,8,The parliament visit.,7,None,7,None,7,7,None,5,"The page glitches a lot sometimes and the outclass content creation section is not accurate, its a pain to get through the page.",6,"The quality of the batch is not what I expected, a little disappointed there. I feel overall the expectation setting is too high but the reality is not the same. Being in a bschool even expecting a good fest is a bare minimum in my opinion, everything is just very surface level.","The masters this term were good, and the level of assignments and projects were also fun to work on.","Firstly, I think Pratham can not even name 20 people from this batch, being the flagship course of MU, it feels like Pratham's focus on introducing new courses and Tetr is a bigger priority than PGP TBM. If I were Pratham, I would not introduce so many programs, as it increases the expectations of the upcoming students and expands the gap in their trust in MU as an institution. I would also spend more time with the batch in occasionally sitting in the campus to listen and understand their plans at MU. Right now getting access of Pratham feels like a celebrity's access which should not be the case."
TBM,10,,7,6,7,10,5,9,,7,,4,,,8,Professor Ashank Bhandare,6,7,We should be encouraged to build collaterals right from the start of the course instead of end. A lot is crammed in the final week this way,6,I did not participate in this challenge although one of the reels that stars me has garnered 20million views,7,Not answered,3,No they haven't. i don't think the structure and understanding is in place. maybe you need more people to cater to a cohort of 300 students. you see the same 5-6 students everywhere in shortlists and all like you are only pushing them,2,"yes please have more individual mandatory sessions instead of one every month or two. Get some help for Dr Gopika, there should be 10-12 career prep mentors",3,Not answered,Professor Ashank Bhandare and Professor Bhupesh,Not answered,6,3,I choose not to answer this question,3,Not answered,6,Not answered,4,6,Not answered,9,Not answered,6,I choose not to answer this question,I choose not to answer this question,"I would have a collective passing out of the batch. Eveyrone finishes MBA and goes to jobs together, not you leave as you please situation. It increases anxiety for everyone left"
TBM,10,5,9,9,9,,10,5,,7,,4,,,5,"Pranav and sahil, both were on point",7,7,"there's a clear distinction between a mentors credibility in their field and their ability to deliver that knowledge across to students, and there is a clear gap in few visiting faculties.",9,"NA, did not opt in for the challange",9,"The sessions around the Pre seed were quite mundane, the mentors had 0 or no relevant industry experience relevant to my domain but the outclass team was supporting and resourceful",8,"Yes , but there should be mock technical rounds of interviews, i personally feel we have had more than enough stress on resume and the way we answer",5,"Make the sessions more relevant, current session are not adding any value",2,"barely get any responses from the companies applied, most of the jobs are lateral, personally have applied for the same number of jobs as on coach portal and on linkedin through my automation, have gotten better acceptance ratio outside.Please kindly fix this",NA cant point out any notable session,Quality has improved in this term,6,8,"There werent a lot of notable activities , but still the club event experiences were worthwhile",5,They were proactive enough and were there for any concerns,5,The ui breaks when few filters are applied,7,9,"NA, This is working great",5,"Fix the UI , feels like an outdated government platform",5,"The term didn't feel quite giving in the terms of learning curve, we want to be occupied and make our moneys worth, we dont want idle time, have come here to learn as much as possible","The Domain Practicums were great, thoroughly enjoyed them and the Outclass in general was fun and rewarding","1.Tighten the quality of student intakes and set higher parameters, as in a MBA college a cohort heavily affects a students life in the duration of college 2.Fix the placements , its really concerning looking at the type of opportunities coming in and the response rate of those companies too."
TBM,9,,10,10,10,,8,8,,,8,6,,,8,Dr Vipin sir in corporate strategy Bhupesh Sir in Market research - Really very well taught,7,8,Not answered,4,Not applicable since I did not take up the challenge,5,Not answered,6,"Yes it did but having said that. Resume reviews have become sort of like a forced criticism of the resume. What I mean by that is, we have modified our resumes based on inputs from various people, be it MU or mentor union. Now after we incorporate one change from someone the other person does not like it and its an infinite loop.",6,Not answered,1,"Placements or opportunities have been terrible. I personally have applied to so many ""opportunities"" but havent heard back from even a single one. The job aspiration form also seems to be useless as there hasnt been any conversions from there. Not only for me but for everyone out there. Campus placements make a good case for conversions but the lack of it feels very frustrating. Every linkedin post/job opening isnt an ""Opportunity"" that MU has offered us. There are hardly any conversions that happen. Conversions/opprtunities should be counted only when there have been shortlists from the company","Bhupesh sir, Vipin sir, Shravan, Pranav (FM)",Not answered,6,7,"The market research course helped me a lot in terms of understanding how to take an idea, validate it and then take it to the market",7,Not answered,1,"Just so many bugs that it feels irritating to even use it. Every small issue has to be raised with the most common being not being able to apply, no proper tracking of my applications, lack of transparency",7,7,The UI for rescheduling is so buggy that you have to click 5-6 times on a single button to just load the content,8,Not answered,6,"Placements or opportunities have been terrible. I personally have applied to so many ""opportunities,"" but haven't heard back from even a single one. The job aspiration form also seems to be useless as there hasnt been any conversions from there. Not only for me but for everyone out there. Campus placements make a good case for conversions, but the lack of them feels very frustrating. Every LinkedIn post/job opening isnt an ""Opportunity"" that MU has offered us. There are hardly any conversions that happen. Conversions/opportunities should be counted only when there have been shortlists from the company",Academics and learning outcomes were pretty good.,"Placements or opportunities have been terrible. I personally have applied to so many ""opportunities,"" but haven't heard back from even a single one. The job aspiration form also seems to be useless as there hasnt been any conversions from there. Not only for me but for everyone out there. Campus placements make a good case for conversions, but the lack of it feels very frustrating. Every LinkedIn post/job opening isnt an ""Opportunity"" that MU has offered us. There are hardly any conversions that happen. Conversions/opportunities should be counted only when there have been shortlists from the company. The entire placement team requires a revamp as to what opportunities are being brought. We have more ""No Shortlist"" opportunities than getting interviews, and these are also being counted as ""opportunities"" given to us. We weren't even given a chance to interview."
TBM,10,,10,10,10,,10,10,,,,,,,10,Bhupesh Sir Market research course,10,9,Not answered,8,Not opted for content creation,8,Not answered,9,"Yes, they did. Overall guidance towards the subject line was handled nicely with constant follow-ups and feedback",8,Not answered,8,Not answered,"Bhupesh, Garima, Vipin, Pranav, HR CEP",Not answered,9,9,"Frat Events, Events Belong club",9,Not answered,7,Not answered,8,8,As of now no,8,Not answered,8,Overall experience that I had this term,"The feedback was really taken into account, and improvements were made, which made us feel heard. Many practical assignments are actually helping us prepare for our next roles and understand how to apply these things in the real world, something on this line and industry level would help us more to be effective in our work field",It would be greatly appreciated if the placement momentum could be strengthened going forward. Increasing the number of companies visiting campus and further improving the quality of recruiting organisations would significantly help restore confidence and ensure stronger outcomes for the current cohort.
